play_id,play_type,down,distance,yards_to_goal,yard_line,ppa,scoring,home,away,offense_score,defense_score,period,clock_minutes,clock_seconds,week,opponent,season,team,player_name,draft_year
400764859101859304,Pass Incompletion,2,5,5,95,-0.32302193763867,False,Memphis,Missouri State,0,0,1,14,6,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859101859301,Pass Incompletion,1,10,25,75,-0.4522778946200265,False,Memphis,Missouri State,0,0,1,14,6,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859101869201,Passing Touchdown,3,5,5,95,2.76159962916859,True,Memphis,Missouri State,7,0,1,13,7,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859101897701,Passing Touchdown,1,10,44,56,3.4128823575100213,True,Memphis,Missouri State,14,0,1,10,22,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859101898501,Pass Reception,1,10,36,64,0.40306460138266,False,Memphis,Missouri State,14,0,1,10,14,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859101926905,Pass Incompletion,3,12,55,45,-0.4725840390703073,False,Memphis,Missouri State,21,0,1,7,30,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859101926901,Pass Reception,1,10,68,32,0.3855228600463665,False,Memphis,Missouri State,21,0,1,7,30,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859101978203,Pass Incompletion,1,10,52,48,-1.1430602484821704,False,Memphis,Missouri State,28,0,1,2,17,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859101978204,Pass Reception,2,10,52,48,0.0740933278030749,False,Memphis,Missouri State,28,0,1,2,17,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859101978205,Pass Reception,3,5,47,53,1.836501583493007,False,Memphis,Missouri State,28,0,1,2,17,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859102916801,Pass Reception,1,10,94,6,0.06498487428331413,False,Memphis,Missouri State,35,0,2,8,31,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859102955005,Pass Reception,1,10,15,85,1.093747356833746,False,Memphis,Missouri State,35,0,2,4,49,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859102955001,Pass Reception,1,10,67,33,2.4564678853641926,False,Memphis,Missouri State,35,0,2,4,49,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859103849902,Pass Reception,1,10,80,20,1.2388651878297718,False,Memphis,Missouri State,42,0,3,15,0,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859103849904,Pass Reception,2,3,57,43,1.2475195735852367,False,Memphis,Missouri State,42,0,3,15,0,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859103849909,Pass Reception,1,10,28,72,0.1952917528460566,False,Memphis,Missouri State,42,0,3,15,0,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859103947504,Pass Reception,1,10,75,25,1.516051907682006,False,Memphis,Missouri State,49,7,3,5,24,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859103994601,Passing Touchdown,3,4,4,96,2.6959729214765815,True,Memphis,Missouri State,56,7,3,0,53,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859103947508,Pass Reception,1,10,21,79,0.07448863119052,False,Memphis,Missouri State,49,7,3,5,24,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859103947507,Pass Reception,2,8,30,70,0.562770241010917,False,Memphis,Missouri State,49,7,3,5,24,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400764859104907102,Pass Incompletion,2,8,62,38,-0.8054878366661029,False,Memphis,Missouri State,56,7,4,9,28,1,Missouri State,2015,Memphis,Paxton Lynch,2016
400763410101877001,Pass Incompletion,1,10,77,77,-0.6425305871127751,False,Kansas,Memphis,0,3,1,12,29,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410101905110,Pass Reception,1,10,17,17,1.115451370053077,False,Kansas,Memphis,0,10,1,9,48,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410101905105,Pass Reception,1,15,80,80,2.062272493827294,False,Kansas,Memphis,0,10,1,9,48,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410101905109,Pass Reception,3,8,32,32,1.500734691260856,False,Kansas,Memphis,0,10,1,9,48,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410101905106,Pass Reception,1,10,60,60,1.8201744432300053,False,Kansas,Memphis,0,10,1,9,48,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410101954806,Pass Incompletion,2,6,6,6,-0.29509485739271,False,Kansas,Memphis,7,10,1,4,51,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410101954804,Pass Reception,2,9,22,22,0.788605705140629,False,Kansas,Memphis,7,10,1,4,51,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410101999801,Pass Reception,1,10,69,69,1.3649000856171405,False,Kansas,Memphis,10,10,1,0,1,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410102849903,Pass Reception,2,8,28,28,0.4935133398683166,False,Kansas,Memphis,10,10,2,15,0,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410102849901,Pass Reception,2,1,60,60,1.4281477865751382,False,Kansas,Memphis,10,10,2,15,0,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410102849904,Pass Reception,1,10,20,20,0.193689905385231,False,Kansas,Memphis,10,10,2,15,0,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410102874803,Pass Reception,3,18,60,60,0.9462457985720025,False,Kansas,Memphis,17,10,2,12,51,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410102934503,Pass Reception,1,10,75,75,0.8350381090299867,False,Kansas,Memphis,17,13,2,6,54,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410102996701,Passing Touchdown,2,6,6,6,2.528666992781938,True,Kansas,Memphis,24,13,2,0,32,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410102956007,Pass Reception,2,6,48,48,1.589822853583808,False,Kansas,Memphis,17,13,2,4,39,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410102956004,Pass Reception,1,10,67,67,1.0284623848933538,False,Kansas,Memphis,17,13,2,4,39,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410103849903,Pass Reception,2,6,71,71,1.4351431405165425,False,Kansas,Memphis,24,13,3,15,0,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410103908501,Passing Touchdown,2,3,3,3,2.211424613960093,True,Kansas,Memphis,38,20,3,9,14,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410103887904,Pass Incompletion,1,10,75,75,-0.7029700220436519,False,Kansas,Memphis,31,20,3,11,20,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410103887907,Pass Reception,1,10,59,59,2.079109247014013,False,Kansas,Memphis,31,20,3,11,20,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410103887906,Pass Reception,3,7,72,72,2.273941912078933,False,Kansas,Memphis,31,20,3,11,20,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410103908520,Pass Reception,2,7,20,20,0.1744554612539865,False,Kansas,Memphis,38,20,3,9,14,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410103908517,Pass Reception,2,2,60,60,1.4474018281389809,False,Kansas,Memphis,38,20,3,9,14,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410103908515,Pass Reception,1,10,89,89,1.2442615924858123,False,Kansas,Memphis,38,20,3,9,14,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410104855302,Pass Reception,2,5,66,66,1.9880022625916105,False,Kansas,Memphis,48,20,4,14,46,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410104924208,Pass Reception,1,10,44,44,0.5005481645051048,False,Kansas,Memphis,55,23,4,7,57,2,Kansas,2015,Memphis,Paxton Lynch,2016
400763410104924203,Pass Reception,1,10,75,75,1.252308359788624,False,Kansas,Memphis,55,23,4,7,57,2,Kansas,2015,Memphis,Paxton Lynch,2016
400764864101865507,Pass Reception,3,12,64,64,0.02334065399238483,False,Bowling Green,Memphis,0,7,1,13,44,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864101865504,Pass Reception,1,10,75,75,1.124751479041831,False,Bowling Green,Memphis,0,7,1,13,44,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864101895603,Pass Incompletion,1,10,37,37,-0.7519361608312708,False,Bowling Green,Memphis,0,7,1,10,43,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864101895602,Pass Reception,2,10,56,56,2.4800208381684445,False,Bowling Green,Memphis,0,7,1,10,43,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864101895604,Pass Reception,2,10,37,37,1.0833426698998334,False,Bowling Green,Memphis,0,7,1,10,43,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864101945708,Pass Reception,2,17,20,20,-1.4089650019505804,False,Bowling Green,Memphis,7,14,1,5,42,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864101945704,Pass Reception,2,13,46,46,0.5179390889734438,False,Bowling Green,Memphis,7,14,1,5,42,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864101945701,Pass Reception,1,10,82,82,3.1359281613619965,False,Bowling Green,Memphis,7,14,1,5,42,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864101945706,Pass Reception,1,10,32,32,0.3325902105431154,False,Bowling Green,Memphis,7,14,1,5,42,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864102849901,Pass Reception,2,3,81,81,-0.510065237662368,False,Bowling Green,Memphis,10,14,2,15,0,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864102849905,Pass Reception,1,10,59,59,-1.1387859939569847,False,Bowling Green,Memphis,10,14,2,15,0,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864102849903,Pass Reception,1,10,76,76,0.0927395188594593,False,Bowling Green,Memphis,10,14,2,15,0,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864102849910,Pass Incompletion,1,10,21,21,-0.3882383440694163,False,Bowling Green,Memphis,10,14,2,15,0,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864102849909,Pass Reception,2,9,47,47,1.8911576585071814,False,Bowling Green,Memphis,10,14,2,15,0,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864102849911,Pass Reception,2,10,21,21,0.5962973342184413,False,Bowling Green,Memphis,10,14,2,15,0,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864102905901,Passing Touchdown,2,6,6,6,2.528666992781938,True,Bowling Green,Memphis,17,14,2,9,40,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864102849907,Pass Reception,3,5,54,54,2.043519507230913,False,Bowling Green,Memphis,10,14,2,15,0,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864102927006,Pass Incompletion,3,7,62,62,-0.4769471385968531,False,Bowling Green,Memphis,17,14,2,7,29,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864102927003,Pass Reception,3,9,89,89,2.029097759427958,False,Bowling Green,Memphis,17,14,2,7,29,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864102978805,Pass Incompletion,1,10,57,57,-1.15714755134967,False,Bowling Green,Memphis,17,21,2,2,11,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864102978804,Pass Reception,1,10,75,75,1.612438422209995,False,Bowling Green,Memphis,17,21,2,2,11,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864102978807,Pass Incompletion,3,6,53,53,-0.7987440892990438,False,Bowling Green,Memphis,17,21,2,2,11,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864103854503,Pass Incompletion,3,4,66,66,-0.5118806205372062,False,Bowling Green,Memphis,17,27,3,14,54,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864103854501,Pass Reception,1,10,72,72,0.0997589035143243,False,Bowling Green,Memphis,17,27,3,14,54,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864103854508,Pass Reception,2,19,32,32,-1.396496936775364,False,Bowling Green,Memphis,17,27,3,14,54,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864103854509,Pass Incompletion,3,21,34,34,-0.7781985190264445,False,Bowling Green,Memphis,17,27,3,14,54,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864103854506,Pass Reception,1,10,38,38,0.4306149705139595,False,Bowling Green,Memphis,17,27,3,14,54,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864103915602,Pass Reception,1,10,70,70,-0.547828113258845,False,Bowling Green,Memphis,20,27,3,8,43,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864103915608,Pass Reception,4,1,41,41,2.6237325360022847,False,Bowling Green,Memphis,20,27,3,8,43,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864103965302,Pass Reception,2,10,78,78,0.04003568259681422,False,Bowling Green,Memphis,27,34,3,3,46,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864103989901,Passing Touchdown,3,3,60,60,5.952653479938627,True,Bowling Green,Memphis,34,34,3,1,0,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864104858604,Pass Reception,1,10,75,75,-0.5874795431016855,False,Bowling Green,Memphis,34,41,4,14,13,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864104858610,Pass Reception,1,10,49,49,-0.8564651345494897,False,Bowling Green,Memphis,34,41,4,14,13,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864104888001,Passing Touchdown,2,9,48,48,4.618795686186738,True,Bowling Green,Memphis,41,41,4,11,19,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864104858605,Pass Reception,2,9,74,74,0.5644456811527379,False,Bowling Green,Memphis,34,41,4,14,13,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864104897603,Pass Reception,1,10,45,45,0.954774671699143,False,Bowling Green,Memphis,41,41,4,10,23,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864104897604,Pass Incompletion,1,10,11,11,-0.291297448934314,False,Bowling Green,Memphis,41,41,4,10,23,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864104938609,Pass Incompletion,3,14,70,70,-0.14687540238390806,False,Bowling Green,Memphis,44,41,4,6,13,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864104938606,Pass Incompletion,1,15,71,71,-0.5439453389835229,False,Bowling Green,Memphis,44,41,4,6,13,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764864104938601,Pass Incompletion,1,10,77,77,-0.6425305871127751,False,Bowling Green,Memphis,44,41,4,6,13,3,Bowling Green,2015,Memphis,Paxton Lynch,2016
400764870101854901,Pass Incompletion,1,10,73,27,-0.766047035673644,False,Memphis,Cincinnati,0,0,1,14,50,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870101868901,Pass Incompletion,1,10,98,2,-0.25037105050665875,False,Memphis,Cincinnati,0,7,1,13,10,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870101869501,Pass Reception,2,10,98,2,0.28134058648481464,False,Memphis,Cincinnati,0,7,1,13,4,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870101954601,Pass Incompletion,1,10,82,18,-0.5080208698531008,False,Memphis,Cincinnati,7,10,1,4,53,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870101955701,Passing Touchdown,2,10,82,18,6.9963191191459515,True,Memphis,Cincinnati,14,10,1,4,42,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870101997901,Pass Incompletion,2,18,88,12,-0.06295943299434814,False,Memphis,Cincinnati,14,10,1,0,20,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870102875201,Pass Reception,2,2,52,48,0.3885630643624208,False,Memphis,Cincinnati,14,17,2,12,47,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870102866801,Pass Reception,2,9,76,24,1.991485198674324,False,Memphis,Cincinnati,14,17,2,13,31,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870102919101,Pass Incompletion,3,5,80,20,-0.21681328149032897,False,Memphis,Cincinnati,21,20,2,8,8,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870102917101,Pass Reception,2,9,84,16,-0.037040546122184104,False,Memphis,Cincinnati,21,20,2,8,28,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870102955901,Pass Reception,1,10,65,35,3.55452649197736,False,Memphis,Cincinnati,21,23,2,4,40,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870102986501,Pass Reception,1,10,80,20,0.7987441096809142,False,Memphis,Cincinnati,28,30,2,1,34,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870102986601,Pass Incompletion,2,2,72,28,-0.9674616238506859,False,Memphis,Cincinnati,28,30,2,1,33,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870103877101,Pass Reception,3,13,80,20,0.396865068892609,False,Memphis,Cincinnati,28,30,3,12,28,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870103908201,Pass Incompletion,1,10,81,19,-0.5327945515514214,False,Memphis,Cincinnati,28,30,3,9,17,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870103954601,Pass Reception,1,10,31,69,0.2732234487805736,False,Memphis,Cincinnati,28,30,3,4,53,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870103959701,Pass Incompletion,2,3,9,91,-0.436779257745775,False,Memphis,Cincinnati,28,30,3,4,2,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870103936901,Pass Reception,1,10,52,48,-1.5956702430452963,False,Memphis,Cincinnati,28,30,3,6,30,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870103948301,Pass Reception,3,6,48,52,2.473466763347733,False,Memphis,Cincinnati,28,30,3,5,16,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870103996601,Pass Reception,1,10,62,38,1.7124840147829712,False,Memphis,Cincinnati,31,33,3,0,33,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870104864501,Pass Incompletion,1,10,23,77,-0.4181180581276075,False,Memphis,Cincinnati,31,33,4,13,54,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870104865001,Pass Reception,2,10,23,77,0.762496167499144,False,Memphis,Cincinnati,31,33,4,13,49,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870104866901,Passing Touchdown,1,8,8,92,2.319599568699692,True,Memphis,Cincinnati,38,33,4,13,30,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870103988301,Pass Incompletion,1,10,73,27,-0.766047035673644,False,Memphis,Cincinnati,31,33,3,1,16,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870104904501,Pass Reception,1,10,75,25,1.9824556861480138,False,Memphis,Cincinnati,38,39,4,9,54,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870104919601,Pass Reception,2,5,12,88,0.6218132701307935,False,Memphis,Cincinnati,38,39,4,8,3,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870104914301,Pass Reception,2,3,29,71,0.027810390846722,False,Memphis,Cincinnati,38,39,4,8,56,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870104968801,Pass Incompletion,4,2,35,65,-2.393242739107391,False,Memphis,Cincinnati,46,46,4,3,11,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870104959001,Pass Reception,2,7,40,60,-0.125917794315347,False,Memphis,Cincinnati,46,46,4,4,9,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870104948801,Pass Reception,3,6,59,41,2.8848341275292153,False,Memphis,Cincinnati,46,46,4,5,11,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870104944901,Pass Reception,1,10,75,25,1.0272443261435713,False,Memphis,Cincinnati,46,46,4,5,50,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870104946501,Pass Reception,1,10,63,37,-0.1644248613169578,False,Memphis,Cincinnati,46,46,4,5,34,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870104948001,Pass Incompletion,2,6,59,41,-1.0222685605653614,False,Memphis,Cincinnati,46,46,4,5,19,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870104984601,Pass Reception,1,10,38,62,0.476664919553489,False,Memphis,Cincinnati,46,46,4,1,53,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870104978801,Pass Reception,1,10,67,33,2.3344640205559606,False,Memphis,Cincinnati,46,46,4,2,11,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764870104977701,Pass Reception,1,10,80,20,0.957001126463954,False,Memphis,Cincinnati,46,46,4,2,22,4,Cincinnati,2015,Memphis,Paxton Lynch,2016
400764875101869701,Pass Incompletion,2,11,54,54,-0.8913280285471136,False,South Florida,Memphis,0,0,1,13,2,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875101856301,Pass Reception,1,10,63,63,0.7113806413121412,False,South Florida,Memphis,0,0,1,14,36,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875101874101,Pass Incompletion,3,11,54,54,-0.5391291525131665,False,South Florida,Memphis,0,0,1,12,58,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875101854901,Pass Reception,1,10,75,75,1.0272443261435713,False,South Florida,Memphis,0,0,1,14,50,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875101944701,Pass Reception,1,10,53,53,1.3952150713072502,False,South Florida,Memphis,0,7,1,5,52,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875101947101,Pass Incompletion,1,10,25,25,-0.4522778946200265,False,South Florida,Memphis,0,7,1,5,28,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875101935401,Pass Reception,2,8,62,62,0.3242953730701554,False,South Florida,Memphis,0,7,1,6,45,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875102866801,Pass Reception,3,11,38,38,2.371573565982329,False,South Florida,Memphis,0,10,2,13,31,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875102855701,Pass Reception,1,10,50,50,0.7900033006446298,False,South Florida,Memphis,0,10,2,14,42,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875102874101,Passing Touchdown,1,10,20,20,2.617927729031699,True,South Florida,Memphis,7,10,2,12,58,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875102935401,Pass Reception,2,15,53,53,0.0497367896712397,False,South Florida,Memphis,7,10,2,6,45,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875102906201,Pass Incompletion,1,10,99,99,-0.24120998460901966,False,South Florida,Memphis,7,10,2,9,37,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875102907101,Pass Reception,2,10,99,99,0.7942703154756323,False,South Florida,Memphis,7,10,2,9,28,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875102909901,Pass Reception,1,10,81,81,1.485615880323306,False,South Florida,Memphis,7,10,2,9,0,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875102979901,Pass Incompletion,3,2,48,48,-1.1324398100745032,False,South Florida,Memphis,7,10,2,2,0,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875102966701,Pass Incompletion,1,10,72,72,-0.7982008475508557,False,South Florida,Memphis,7,10,2,3,32,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875102976701,Pass Incompletion,1,10,56,56,-1.1612466882658818,False,South Florida,Memphis,7,10,2,2,32,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875102967901,Pass Reception,2,10,72,72,0.35656078520897166,False,South Florida,Memphis,7,10,2,3,20,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875102977401,Pass Reception,2,10,56,56,0.8318431851021338,False,South Florida,Memphis,7,10,2,2,25,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875102995701,Pass Incompletion,3,6,44,44,-1.0284087656657714,False,South Florida,Memphis,7,10,2,0,42,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875102995101,Pass Incompletion,2,6,44,44,-1.108332357564981,False,South Florida,Memphis,7,10,2,0,48,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875103859201,Pass Incompletion,3,2,44,44,-1.160853186367655,False,South Florida,Memphis,7,10,3,14,7,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875103854901,Pass Reception,1,10,52,52,0.3608772046980507,False,South Florida,Memphis,7,10,3,14,50,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875103898901,Pass Reception,2,24,43,43,1.2829569045992295,False,South Florida,Memphis,7,10,3,10,10,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875103905701,Pass Incompletion,3,13,32,32,-1.0071588067334094,False,South Florida,Memphis,7,10,3,9,42,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875103965101,Pass Incompletion,2,9,23,23,-0.5359237345216901,False,South Florida,Memphis,10,10,3,3,48,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875103936501,Pass Reception,2,9,80,80,1.4569181100676705,False,South Florida,Memphis,10,10,3,6,34,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875103966301,Pass Reception,3,9,23,23,1.6670327092889676,False,South Florida,Memphis,10,10,3,3,36,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875103955201,Pass Reception,3,8,32,32,1.399199845438295,False,South Florida,Memphis,10,10,3,4,47,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875103938401,Pass Reception,1,10,67,67,2.4923305082274787,False,South Florida,Memphis,10,10,3,6,15,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875104887401,Pass Incompletion,1,10,86,86,-0.42008778911877176,False,South Florida,Memphis,17,10,4,11,25,5,South Florida,2015,Memphis,Paxton Lynch,2016
400764875104896001,Passing Touchdown,1,10,55,55,4.276613237316365,True,South Florida,Memphis,24,10,4,10,39,5,South Florida,2015,Memphis,Paxton Lynch,2016
